Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,25,OKC,5,5,31.8,5.6,8.4,.667,0.0,0.2,.000,5.6,8.2,.683,.667,0.6,1.6,.375,2.4,4.8,7.2,1.4,1.0,1.0,1.8,2.6,11.8
2,LaMarcus Aldridge\aldrila01,C,33,SAS,7,7,34.9,7.9,17.3,.455,0.4,1.6,.273,7.4,15.7,.473,.467,3.9,4.7,.818,2.7,6.9,9.6,2.7,0.7,1.0,1.0,3.0,20.0
3,Grayson Allen\allengr01,SG,23,UTA,2,0,7.0,1.0,3.5,.286,0.0,1.5,.000,1.0,2.0,.500,.286,2.5,3.5,.714,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5
4,Jarrett Allen\allenja01,C,20,BRK,5,5,22.0,3.8,6.4,.594,0.0,0.0,,3.8,6.4,.594,.594,3.4,4.0,.850,3.0,3.8,6.8,2.2,0.6,0.6,1.6,2.6,11.0
5,Al-Farouq Aminu\aminual01,PF,28,POR,16,16,24.9,2.4,6.8,.349,0.9,3.2,.294,1.4,3.6,.397,.417,1.7,2.3,.750,1.8,4.4,6.3,1.3,0.6,0.6,1.0,2.1,7.4
6,Giannis Antetokounmpo\antetgi01,PF,24,MIL,15,15,34.3,8.6,17.5,.492,1.2,3.7,.327,7.4,13.8,.536,.527,7.1,11.2,.637,2.5,9.8,12.3,4.9,1.1,2.0,3.3,3.2,25.5
7,D.J. Augustin\augusdj01,PG,31,ORL,5,5,28.2,4.0,8.2,.488,2.0,4.2,.476,2.0,4.0,.500,.610,2.8,3.2,.875,0.2,1.4,1.6,3.8,0.4,0.2,1.4,1.4,12.8
8,Will Barton\bartowi01,SG,28,DEN,14,3,23.4,3.4,9.6,.348,1.1,3.9,.273,2.3,5.7,.400,.404,1.3,1.9,.692,1.1,3.7,4.8,1.7,0.3,0.6,0.9,1.4,9.1
9,Aron Baynes\baynear01,C,32,BOS,9,5,12.8,0.9,1.6,.571,0.2,0.7,.333,0.7,0.9,.750,.643,0.1,0.2,.500,0.7,2.1,2.8,0.3,0.3,0.3,0.6,2.2,2.1
10,Malik Beasley\beaslma01,SG,22,DEN,14,0,20.1,2.6,6.6,.387,1.4,3.4,.404,1.2,3.3,.370,.489,1.6,2.2,.710,0.8,2.6,3.4,1.0,0.2,0.1,0.5,1.4,8.1
11,Marco Belinelli\belinma01,SG,32,SAS,7,0,18.7,2.0,5.4,.368,1.1,3.0,.381,0.9,2.4,.353,.474,0.7,0.9,.833,0.0,1.9,1.9,1.1,0.0,0.3,0.3,1.0,5.9
12,Jordan Bell\belljo01,C,24,GSW,11,1,7.3,1.3,2.5,.519,0.0,0.0,,1.3,2.5,.519,.519,0.6,0.9,.700,0.5,0.8,1.3,0.9,0.4,0.5,0.2,1.0,3.2
13,Davis Bertans\bertada01,PF,26,SAS,5,0,15.8,1.0,3.0,.333,0.6,2.2,.273,0.4,0.8,.500,.433,0.6,1.0,.600,0.0,1.6,1.6,1.0,0.0,0.2,0.2,2.0,3.2
14,Patrick Beverley\beverpa01,PG,30,LAC,6,6,32.5,3.3,7.8,.426,2.2,5.0,.433,1.2,2.8,.412,.564,1.0,1.3,.750,1.3,6.7,8.0,4.7,1.0,1.0,1.7,3.5,9.8
15,Khem Birch\birchkh01,C,26,ORL,5,0,18.4,2.0,3.6,.556,0.0,0.0,,2.0,3.6,.556,.556,1.2,1.4,.857,1.8,4.4,6.2,0.8,0.2,1.0,1.2,1.6,5.2
